1	0	53
1	10000	52
1	20000	51
1	30000	51
1	40000	52
1	50000	53
1	60000	52
1	70000	52
1	80000	52
1	90000	52
1	100000	52
1	110000	53
1	120000	52
1	130000	53
1	140000	52
1	150000	53
1	160000	53
1	170000	52
1	180000	54
1	190000	53
1	200000	53
1	210000	50
1	220000	49
1	230000	51
1	240000	49
1	250000	53
1	260000	51
1	270000	52
1	280000	52
1	290000	53
1	300000	53
1	310000	53
1	320000	53
1	330000	52
1	340000	53
1	350000	52
1	360000	53
1	370000	50
1	380000	50
1	390000	51
1	400000	51
1	410000	53
1	420000	52
1	430000	51
1	440000	52
1	450000	52
1	460000	51
1	470000	52
1	480000	50
1	490000	51
1	500000	50
1	510000	52
10	1790000	50
10	1800000	58
10	1810000	55
10	1820000	56
10	1830000	51
10	1840000	52
10	1850000	57
10	1860000	58
10	1870000	52
10	1880000	55
10	1890000	55
10	1900000	56
10	1910000	54
10	1920000	57
10	1930000	54
10	1940000	56
10	1950000	51
10	1960000	54
10	1970000	55
10	1980000	52
10	1990000	53
11	0	39
11	10000	38
11	20000	39
11	30000	38
11	40000	40
11	50000	37
11	60000	42
11	70000	7
13	0	49
13	10000	49
13	20000	50
13	30000	49
13	40000	50
13	50000	3
13	60000	7
14	1910000	7
14	1920000	11
14	1930000	26
14	1940000	50
14	1950000	50
14	1960000	50
14	1970000	50
14	1980000	51
14	1990000	48
15	20000	39
15	30000	5
15	40000	23
15	50000	16
15	60000	12
15	70000	3
15	80000	22
15	90000	28
15	100000	29
15	110000	28
15	120000	20
15	130000	18
15	140000	6
15	150000	24
15	160000	17
15	170000	21
15	180000	26
15	190000	3
15	200000	17
15	210000	6
15	220000	23
15	230000	7
15	240000	15
15	250000	13
15	260000	6
15	270000	17
15	280000	13
15	290000	7
15	300000	13
15	310000	15
15	320000	11
15	330000	24
15	340000	11
15	350000	25
15	360000	16
15	370000	16
15	380000	30
15	1890000	5
16	1990000	30
18	300000	9
18	570000	2
18	580000	7
19	1390000	40
19	1400000	46
19	1410000	45
19	1420000	25
19	1430000	19
19	1440000	33
19	1450000	14
19	1460000	17
19	1470000	13
19	1480000	21
19	1490000	5
19	1500000	12
19	1510000	35
19	1520000	2
19	1530000	13
19	1540000	8
3	0	49
3	10000	47
3	20000	49
3	30000	49
3	40000	47
3	50000	50
3	60000	49
3	70000	48
3	80000	19
3	1370000	4
3	1380000	3
3	1390000	4
3	1400000	14
3	1410000	8
3	1420000	15
3	1430000	25
3	1440000	27
3	1450000	34
3	1460000	27
3	1470000	22
3	1480000	29
4	1820000	25
4	1830000	54
4	1840000	52
4	1850000	53
4	1860000	52
4	1870000	53
4	1880000	53
4	1890000	53
4	1900000	52
4	1910000	53
4	1920000	53
4	1930000	53
4	1940000	53
4	1950000	52
4	1960000	52
4	1970000	54
4	1980000	52
4	1990000	53
5	0	38
5	10000	34
5	20000	35
5	30000	37
5	40000	5
6	1960000	8
6	1970000	6
6	1980000	42
6	1990000	54
7	10000	23
7	20000	7
8	1890000	22
8	1900000	21
8	1920000	6
8	1930000	26
8	1960000	21
8	1970000	16
8	1980000	15
8	1990000	56
9	220000	11
9	230000	48
9	240000	41
9	250000	31
9	260000	19
9	270000	9
9	300000	22
9	310000	12
9	320000	11
9	330000	11
window	bin_10kb	n_hits
